https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC
1610755200,2021-01-16 00:00:00,ETH/BTC,0.03178002,0.03196562,0.03178002,0.03196562,2.68435562,0.08580709169378439
1610751600,2021-01-15 23:00:00,ETH/BTC,0.03180997,0.03186323,0.03173317,0.03183000,127.04955897,4.0439874620150995
1610748000,2021-01-15 22:00:00,ETH/BTC,0.03194366,0.03206466,0.03177819,0.03179028,104.68047153,3.327821500470728
1610744400,2021-01-15 21:00:00,ETH/BTC,0.03181986,0.03209748,0.03179000,0.03205009,42.92878982,1.375871577322084
1610740800,2021-01-15 20:00:00,ETH/BTC,0.03214174,0.03220000,0.03181986,0.03188000,1153.02994039,36.758594499633205
1610737200,2021-01-15 19:00:00,ETH/BTC,0.03218846,0.03239000,0.03210000,0.03222000,73.97066213,2.3833347338285997
1610733600,2021-01-15 18:00:00,ETH/BTC,0.03208001,0.03246082,0.03204930,0.03213999,161.88597817,5.203013719524018
1610730000,2021-01-15 17:00:00,ETH/BTC,0.03220235,0.03228998,0.03195713,0.03211999,321.59787029,10.329720377736098
1610726400,2021-01-15 16:00:00,ETH/BTC,0.03206999,0.03227000,0.03105655,0.03220900,757.36125153,24.39384855052977
1610722800,2021-01-15 15:00:00,ETH/BTC,0.03237001,0.03251840,0.03190592,0.03205201,664.09851155,21.285692133185716
1610719200,2021-01-15 14:00:00,ETH/BTC,0.03244744,0.03252000,0.03226975,0.03236000,240.90614356,7.7957228056016
1610715600,2021-01-15 13:00:00,ETH/BTC,0.03235999,0.03249998,0.03229720,0.03243000,105.98222290,3.437003488647
1610712000,2021-01-15 12:00:00,ETH/BTC,0.03217788,0.03241936,0.03196842,0.03235999,237.10990011,7.6728739964605985
1610708400,2021-01-15 11:00:00,ETH/BTC,0.03210000,0.03226000,0.03203553,0.03217000,246.23018758,7.9212251344485995
1610704800,2021-01-15 10:00:00,ETH/BTC,0.03192827,0.03215997,0.03179548,0.03215997,50.16361784,1.613260444825865
1610701200,2021-01-15 09:00:00,ETH/BTC,0.03178272,0.03196000,0.03169000,0.03188000,154.64734338,4.9301573069544
1610697600,2021-01-15 08:00:00,ETH/BTC,0.03226274,0.03231959,0.03179000,0.03182745,83.31945957,2.6518459334911966
1610694000,2021-01-15 07:00:00,ETH/BTC,0.03155126,0.03234703,0.03153540,0.03221870,315.25936791,10.157246996881918
1610690400,2021-01-15 06:00:00,ETH/BTC,0.03138000,0.03154000,0.03120877,0.03154000,215.80469478,6.8064800733612
1610686800,2021-01-15 05:00:00,ETH/BTC,0.03142002,0.03168131,0.03134942,0.03136000,159.49576373,5.0017871505728
1610683200,2021-01-15 04:00:00,ETH/BTC,0.03138000,0.03156640,0.03138000,0.03139894,104.32312854,3.2756356536397475
1610679600,2021-01-15 03:00:00,ETH/BTC,0.03151301,0.03153270,0.03125038,0.03146496,81.88046674,2.5763656107554307
1610676000,2021-01-15 02:00:00,ETH/BTC,0.03137418,0.03157000,0.03134943,0.03157000,180.23825244,5.6901216295308
1610672400,2021-01-15 01:00:00,ETH/BTC,0.03133298,0.03176999,0.03133298,0.03143190,375.13958952,11.791350063833688
1610668800,2021-01-15 00:00:00,ETH/BTC,0.03147225,0.03166850,0.03130415,0.03130415,283.34457762,8.869861159503124
1610665200,2021-01-14 23:00:00,ETH/BTC,0.03081466,0.03150800,0.03081466,0.03150800,199.15576158,6.2749997358626395
1610661600,2021-01-14 22:00:00,ETH/BTC,0.03064134,0.03080372,0.03060662,0.03080000,175.27087096,5.398342825568
1610658000,2021-01-14 21:00:00,ETH/BTC,0.03074997,0.03081466,0.03034800,0.03062000,524.71459230,16.066760816226
